MeSH ID	Class List
D054218	3|1|2
D011236	3|2
D011238	3|2
D011252	3|1|2
D011254	3|2
D011289	3|1|2
D017697	3|1|2
D011304	2|3
D011305	3
D053764	3|2
D053766	3|2
D053763	3|2
D011344	3|2
D011352	3|2
D011371	2|3
D011384	1
D018809	3
D011394	3
D011420	3
D017430	3|2
D011468	3
D019048	3|2
D011471	3|1|2
D053448	3
D050050	3|2
D051571	3|2
D017027	3
D011504	3|2
D016715	3|2
D050787	3
D051789	3|2
D011518	3
D048491	3
D048493	3
D016315	3
D051057	2|3
D019253	2|3
D051560	3
D051562	3|2
D050721	3
D050737	3
D050783	3
D051578	3
D016760	3
D051076	3
D051572	3
D016755	3
D019009	3|2
D051257	3
D051736	3|2
D019859	3
D017231	3
D020598	3
D016271	3|2
D051573	2|3
D019908	3
D020569	3|2
D051096	3
D020574	3|2
D051567	3
D051575	3
D016283	3
D016392	3
D011519	3
D011559	1
D018202	3|2
D011694	3
D011727	3|2
D011776	3|2
D019057	2|3
D012334	3|1|2
D034802	3|2
D034702	3|2
D051135	3
D051721	3
D016721	1
D018787	3|2
D011878	3|2
D011879	3
D018714	3|2
D011913	3|2
D051498	3|2
D051499	3|2
D011972	1
D020893	3|2
D020917	3|2
D053218	1|2|3
D058287	1
D051131	3|2
D051116	3|2
D053220	1|2|3
D018124	1
D053320	1
D053240	1
D053219	1
D053323	3|1|2
D047888	2|3|1
D047889	3|1|2
D012004	3|1|2
D012038	3|1
D044968	3
D012142	3|1
D019572	3|1|2
D012175	3|2
D056286	3
D016160	3|2
D056465	3
D056485	3
D056505	3
D056524	3
D050720	3|2
D050717	3|2
D012179	3
D012186	3|1
D015682	3|2
D015301	3|2
D018335	3|1|2
D012207	3|2
D012208	3|1|2
D018232	3|1|2
D018233	3|1|2
D012216	3|1
D012213	3|1|2
D012214	3|1|2
D012215	3|1|2
D012217	3|1|2
D012218	3|1|2
D056653	3|1|2
D012219	3|1|2
D052736	3|1|2
D050794	2|3
D050795	3
D050796	3|2
D050797	3
D050799	3|2
D050800	3
D012468	3|1|2
D016879	3|2
D012509	3|1|2
D012510	3|1
D012511	3|1
D012842	3|1|2
D005253	3|1|2
D009053	3|1|2
D018234	3|1|2
D001357	3|1|2
D018227	2|3|1
D018203	3|1|2
D012512	3|1|2
D012513	3|1|2
D012514	3|1|2
D023981	3|1|2
D018228	3|1|2
D013584	3|1|2
D012517	3|1
D012518	1
D055948	2|3
D012592	3|2
D012625	3|2
D012626	3|1
D018239	3|2
D012673	3|2
D012674	3|2
D021701	3|2
D012707	3|1|2
D018310	3|1|2
D000685	3|1|2
D000683	3|1|2
D018312	3|1|2
D012791	3|2
D012811	3|1|2
D015595	1|2|3
D012878	3|1|2
D019292	3|1|2
D012888	3|1|2
D018235	1
D018860	3
D012983	3|1|2
D054363	3|1|2
D054364	3|1|2
D020760	3|2
D013120	3|1|2
D058630	1
D013125	3|1
D013160	3|1|2
D025241	1
D019089	3
D013274	3|1|2
D013308	3
D020521	3|1|2
D013318	1
D013362	3|1|2
D013365	3|1
D013370	3|2
D013398	1
D013474	1
D013482	3
D013481	3
D013494	3
D015173	3|1|2
D013496	3
D013534	1
D016019	1|2|3
D015996	1|3
D055533	1
D055540	1
D017026	3
D013544	3|1
D016463	3|2
D016708	3|2
D053667	3|2
D018252	3|2
D057177	3|2
D053199	1
D047990	2|3
D047992	2|3
D048008	3|2
D053449	3|2
D048015	3|2
D048029	3|2
D053221	1|2|3
D054549	3|2
D024801	3|2
D043823	3|2
D020946	3|2
D013669	3|2
D005641	3|2
D019098	3
D016615	3
D034501	3
D035321	3
D035341	3
D019063	3|2
D013724	3|2
D013736	3|1|2
D013738	3|2
D013798	3|2
D013847	3|2
D013866	3|2
D013868	3|2
D013889	3
D013899	3|1
D019700	3|2
D019699	3|2
D013945	3|2
D016305	3|2
D013947	2|3
D013953	3|1|2
D013964	3|1|2
D013988	3|2
D019715	3|2
D019716	3|2
D019717	3
D019714	3|2
D014022	1
D014062	3|1|2
D014067	3|1|2
D019772	3|2
D014130	3|2
D014134	1
D051758	3
D053303	3|2
D014212	3|2
D014239	3|2
D015978	3|2
D014265	3|2
D013721	3|2
D020433	3|2
D014277	3|2
D014282	3|2
D051816	3|2
D020432	3|2
D014328	1
D018245	1
D047368	3|1|2
D014407	3|1|2
D019139	3|1|2
D015275	3|1
D014408	3|1|2
D059016	1
D053319	3|1|2
D053300	3|1|2
D053326	3|1|2
D053380	3|1|2
D047988	3|1|2
D014409	3|1|2
D048069	2|3|1
D014410	3|1|2
D025803	3|1|2
D016159	2|3|1
D025521	3|1|2
D014412	3|1
D056811	2|3
D014516	1
D014523	3|1|2
D001749	1
D014549	1
D014550	1
D053202	1
D014565	1
D014571	1
D014572	3|2
D002583	1
D014594	1
D014604	3|1|2
D014625	3|1|2
D019043	3|1|2
D014685	1
D014694	3|2
D014740	3|2
D001084	3|2
D014748	3|2
D014751	3|2
D014752	3|2
D028182	3|2
D050994	2|3
D051794	3|1
D014846	3|1|2
D017624	3|2
D025721	3|2
D014898	2|3
D057135	3|1
D009396	3|1|2
D051153	3
D051155	3
D051154	3|2
D014927	1
D014929	3|2
D051636	1|2|3
D023041	3|1|2
D058008	1
D014999	3|1|2
D018158	3|2
D055815	3
D015043	3|2
D038202	3
D038203	3|2
D038201	3
D050998	2|3
D051028	2|3
D051025	1|3|2
D051020	2|3
D001619	3|2
D051941	3|2
D051845	3|2
D009762	3
D004124	3|2
D020703	3
D020663	3
D018631	3|2
D020666	3
D019061	3|2
D016875	3|2
D006623	3|2
